service_name,service_slug,plane_domain,product_role,internal_or_external,runtime_deployment_required,deployed_preview,running_preview,surfaced_shell,surfaced_mobile,bff_downstream,keycloak_trust,required_roles,required_context,main_routes,main_apis,events_topics,dependencies,health_endpoint,test_scenarios_required,current_maturity,current_blockers,required_fixes,preview_testability_dod
Self Service,self-service,experience/ui-workspace,frontend_app,internal vNext,NO (build_validate_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Share Slip,share-slip-service,enterprise/finance,Share Slip canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8104,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Shared Core,shared-core,integration/shared-library,library,internal vNext,NO (build_validate_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Shared Kernel Java,shared-kernel-java,integration/shared-library,library,internal vNext,NO (build_validate_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Shared Ui,shared-ui,experience/ui-workspace,frontend_app,internal vNext,NO (build_validate_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Simba,simba-service,enterprise/wellness-personal-health-data,wellness journeys; lifestyle plans; self-care plans; preventive care workflows; wellness goals; habit tracking workflows; coaching and nudge workflows; wellness programme participation; longitudinal wellness progress; connected source registry and permissions; personal wellness readings and manual entries; wellness remote monitoring alerts,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8125,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Sms Whatsapp Gateway,sms-whatsapp-gateway,integration/integration,external_dependency,external dependency (contract only),NO (doctrine_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,external contract reference,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Support Console,support-console,experience/ui-workspace,frontend_app,internal vNext,NO (build_validate_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Support,support-service,integration/platform-ops,Support canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8340,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Surveillance,surveillance-service,data/public-health-surveillance,public-health surveillance signals and case aggregates; surveillance alert definitions and epidemiological counters; notifiable event monitoring telemetry,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8180,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Tech Companion,tech-companion,integration/shared-library,library,internal vNext,NO (build_validate_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Tech Companion Harness,tech-companion-harness,integration/shared-library,library,internal vNext,NO (build_validate_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Tech Companion Mock,tech-companion-mock,integration/shared-library,library,internal vNext,NO (build_validate_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
TSHEPO Audit,tshepo-audit-service,trust/identity-governance,Tshepo Audit canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8183,event_outbox per service doctrine,,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
TSHEPO Authz,tshepo-authz-service,trust/identity-governance,Tshepo Authz canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8081,event_outbox per service doctrine,,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
TSHEPO Consent,tshepo-consent-service,trust/identity-governance,Tshepo Consent canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8182,event_outbox per service doctrine,,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Tshepo Contracts,tshepo-contracts,integration/shared-library,library,internal vNext,NO (build_validate_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
TSHEPO Identity,tshepo-identity-service,trust/identity-governance,Tshepo Identity canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8181,event_outbox per service doctrine,,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
TSHEPO Keys,tshepo-keys-service,trust/identity-governance,Tshepo Keys canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8184,event_outbox per service doctrine,,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
TSHEPO Offline,tshepo-offline-service,trust/identity-governance,Tshepo Offline canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8185,event_outbox per service doctrine,,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Tshepo Sdk,tshepo-sdk,integration/shared-library,library,internal vNext,NO (build_validate_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
TSHEPO,tshepo-service,trust/identity-governance,Tshepo canonical records,internal vNext,NO (doctrine_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8079,event_outbox per service doctrine,,N/A,UAT workbook row required per service,unknown,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
TUSO,tuso-service,registry/registry-spine,Tuso canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8084,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
UBOMI,ubomi-service,registry/registry-spine,Ubomi canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8087,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
VARAPI,varapi-service,registry/registry-spine,Varapi canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8083,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
VITO,vito-service,registry/registry-spine,Vito canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8082,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Wellness,wellness-service,enterprise/wellness-compatibility-alias,backend_service,internal vNext,YES,YES,YES,True,N/A,EXCLUDED,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8161,event_outbox per service doctrine,simba-service,/actuator/health,UAT workbook row required per service,running,deprecated — SoR migrated to simba-service,deprecated — SoR migrated to simba-service,logged-in click-flow + API-backed content + role/context test
Workflow,workflow-service,integration/interoperability,Workflow canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8250,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Workforce Governance,workforce-governance-service,enterprise/workforce-operations,Workforce Governance canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port None,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
ZIBO,zibo-service,registry/terminology,Zibo canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8085,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Zibo Web,zibo-web,experience/ui-workspace,frontend_app,internal vNext,NO (build_validate_only),N/A,N/A,absorbed into one-ui-shell,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
