surfaceType,surfaceId,actorType,actorRole,context,intent,transaction,journeyId,servicesInvolved,apisInvolved,registriesInvolved,trustSecurityChecks,dataRecords,eventTopics,uiSurface,mobileSurface,nompiloSupport,relatedFeatures,nextActions,completionCriteria,doctrineCompliance,orchestrationStatus,sourcePath,apiClientHook
"frontend-route","/home/documents","citizen","person","life-hub","My Documents","","","experience-bff","","","auth","","","/home/documents","","optional","","","","unmapped","isolated-page","ui/one-ui-shell/src/app/home/documents/page.tsx",""
"frontend-route","/marketplace/cart","citizen","consumer","citizen marketplace","Shopping Cart","MARKETPLACE:Marketplace Order","marketplace-order","msika-flow-service; msika-service; mushe-wallet-service; experience-bff","/internal/v1/marketplace/*, /internal/v1/commerce/*","","commerce authz","orders; payment intents","core.transaction.events","/marketplace/cart","apps/mobile/citizen-app/src/screens/marketplace/CartScreen.tsx; apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/citizen-app/src/screens/marketplace/HealthOsAppsScreen.tsx; apps/mobile/citizen-app/src/screens/marketplace/MarketplaceScreen.tsx; apps/mobile/provider-app/src/screens/provider/LabOrderPanel.tsx; apps/mobile/provider-app/src/screens/provider/MarketplaceOpsScreen.tsx","expected","wallet-payment; dispatch-delivery","fulfil","Citizen places order and tracks fulfilment","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/marketplace/cart/page.tsx","hooks/queries/useMarketplace.ts"
"frontend-route","/marketplace/substitutions","citizen","consumer","citizen marketplace","Substitutions","MARKETPLACE:Marketplace Order","marketplace-order","msika-flow-service; msika-service; mushe-wallet-service; experience-bff","/internal/v1/marketplace/*, /internal/v1/commerce/*","","commerce authz","orders; payment intents","core.transaction.events","/marketplace/substitutions","apps/mobile/citizen-app/src/screens/marketplace/CartScreen.tsx; apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/citizen-app/src/screens/marketplace/HealthOsAppsScreen.tsx; apps/mobile/citizen-app/src/screens/marketplace/MarketplaceScreen.tsx; apps/mobile/provider-app/src/screens/provider/LabOrderPanel.tsx; apps/mobile/provider-app/src/screens/provider/MarketplaceOpsScreen.tsx","expected","wallet-payment; dispatch-delivery","fulfil","Citizen places order and tracks fulfilment","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/marketplace/substitutions/page.tsx","hooks/queries/useMarketplace.ts"
"frontend-route","/shell/file-manager","unknown","auth","shell","File manager","","","experience-bff","","","auth","","","/shell/file-manager","","optional","","","","unmapped","unclear-intent","ui/one-ui-shell/src/app/shell/file-manager/page.tsx","hooks/queries/useShellFileCatalog.ts"
"frontend-route","/shell/task-manager","unknown","auth","shell","Task manager","","","experience-bff","","","auth","","","/shell/task-manager","","optional","","","","unmapped","unclear-intent","ui/one-ui-shell/src/app/shell/task-manager/page.tsx","hooks/queries/useShellFileCatalog.ts"
"frontend-route","/ask","citizen","person","in-flow intelligent assist","Ask","ADMINISTRATIVE_HEALTH:AI Guidance / Nompilo Assist","ai-guidance-nompilo","guidance-service; llm-orchestration-service; search-service; experience-bff","/internal/v1/guidance/*, /internal/v1/assistant/*, /internal/v1/search*","","assist must not override clinical judgement","guidance sessions; search index","guidance.*","/ask","apps/mobile/citizen-app/src/screens/NompiloAssistantScreen.tsx; apps/mobile/provider-app/src/screens/NompiloAssistantScreen.tsx","expected","provider-patient-encounter; wellness-journey","handoff if needed","Nompilo explains next step with route context","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/ask/page.tsx",""
"frontend-route","/intelligence","citizen","person","guidance","Health Intelligence","","","experience-bff","","","auth","","","/intelligence","","optional","","","","unmapped","isolated-page","ui/one-ui-shell/src/app/intelligence/page.tsx",""
"frontend-route","/search","citizen","person","guidance","Search","","","experience-bff","","","auth","","","/search","","optional","","","","unmapped","unclear-intent","ui/one-ui-shell/src/app/search/page.tsx","hooks/queries/useKnowledgeSearch.ts"
"frontend-route","/guidance","citizen","person","in-flow intelligent assist","Guidance","ADMINISTRATIVE_HEALTH:AI Guidance / Nompilo Assist","ai-guidance-nompilo","guidance-service; llm-orchestration-service; search-service; experience-bff","/internal/v1/guidance/*, /internal/v1/assistant/*, /internal/v1/search*","","assist must not override clinical judgement","guidance sessions; search index","guidance.*","/guidance","apps/mobile/citizen-app/src/screens/NompiloAssistantScreen.tsx; apps/mobile/provider-app/src/screens/NompiloAssistantScreen.tsx","expected","provider-patient-encounter; wellness-journey","handoff if needed","Nompilo explains next step with route context","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/guidance/page.tsx","hooks/queries/useGuidance.ts"
"frontend-route","/guidance/reminders","citizen","person","in-flow intelligent assist","Reminders & Prompts","ADMINISTRATIVE_HEALTH:AI Guidance / Nompilo Assist","ai-guidance-nompilo","guidance-service; llm-orchestration-service; search-service; experience-bff","/internal/v1/guidance/*, /internal/v1/assistant/*, /internal/v1/search*","","assist must not override clinical judgement","guidance sessions; search index","guidance.*","/guidance/reminders","apps/mobile/citizen-app/src/screens/NompiloAssistantScreen.tsx; apps/mobile/provider-app/src/screens/NompiloAssistantScreen.tsx","expected","provider-patient-encounter; wellness-journey","handoff if needed","Nompilo explains next step with route context","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/guidance/reminders/page.tsx","hooks/queries/useGuidance.ts"
"frontend-route","/guidance/education","citizen","person","in-flow intelligent assist","Health Education","ADMINISTRATIVE_HEALTH:AI Guidance / Nompilo Assist","ai-guidance-nompilo","guidance-service; llm-orchestration-service; search-service; experience-bff","/internal/v1/guidance/*, /internal/v1/assistant/*, /internal/v1/search*","","assist must not override clinical judgement","guidance sessions; search index","guidance.*","/guidance/education","apps/mobile/citizen-app/src/screens/NompiloAssistantScreen.tsx; apps/mobile/provider-app/src/screens/NompiloAssistantScreen.tsx","expected","provider-patient-encounter; wellness-journey","handoff if needed","Nompilo explains next step with route context","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/guidance/education/page.tsx","hooks/queries/useGuidance.ts"
"frontend-route","/learning","provider","auth","professional development","Impilo Fundo","TRAINING_OR_COMPETENCY:Fundo / Learning Journey","fundo-learning","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","varapi-service","provider identity for CPD","enrolments; assessments; CPD","learning.completed","/learning","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","expected","provider-login; credential-verification","CPD credit","Provider enrols, completes module, CPD reflected","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/learning/page.tsx","hooks/queries/useLearningSubjectCompletions.ts"
"frontend-route","/learning/catalog","provider","auth","professional development","Impilo Fundo Catalogue","TRAINING_OR_COMPETENCY:Fundo / Learning Journey","fundo-learning","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","varapi-service","provider identity for CPD","enrolments; assessments; CPD","learning.completed","/learning/catalog","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","expected","provider-login; credential-verification","CPD credit","Provider enrols, completes module, CPD reflected","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/learning/catalog/page.tsx","hooks/queries/useLearningSubjectCompletions.ts"
"frontend-route","/learning/courses/[courseId]","provider","auth","professional development","Impilo Fundo Course","TRAINING_OR_COMPETENCY:Fundo / Learning Journey","fundo-learning","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","varapi-service","provider identity for CPD","enrolments; assessments; CPD","learning.completed","/learning/courses/[courseId]","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","expected","provider-login; credential-verification","CPD credit","Provider enrols, completes module, CPD reflected","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/learning/courses/[courseId]/page.tsx","hooks/queries/useLearningSubjectCompletions.ts"
"frontend-route","/learning/my-learning","provider","auth","professional development","My Learning","TRAINING_OR_COMPETENCY:Fundo / Learning Journey","fundo-learning","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","varapi-service","provider identity for CPD","enrolments; assessments; CPD","learning.completed","/learning/my-learning","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","expected","provider-login; credential-verification","CPD credit","Provider enrols, completes module, CPD reflected","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/learning/my-learning/page.tsx","hooks/queries/useLearningSubjectCompletions.ts"
"frontend-route","/learning/enrolments/[enrolmentId]","provider","auth","professional development","Enrolment Player","TRAINING_OR_COMPETENCY:Fundo / Learning Journey","fundo-learning","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","varapi-service","provider identity for CPD","enrolments; assessments; CPD","learning.completed","/learning/enrolments/[enrolmentId]","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","expected","provider-login; credential-verification","CPD credit","Provider enrols, completes module, CPD reflected","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/learning/enrolments/[enrolmentId]/page.tsx","hooks/queries/useLearningSubjectCompletions.ts"
"frontend-route","/learning/enrolments/[enrolmentId]/lessons/[lessonId]","provider","auth","professional development","Lesson Player","TRAINING_OR_COMPETENCY:Fundo / Learning Journey","fundo-learning","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","varapi-service","provider identity for CPD","enrolments; assessments; CPD","learning.completed","/learning/enrolments/[enrolmentId]/lessons/[lessonId]","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","expected","provider-login; credential-verification","CPD credit","Provider enrols, completes module, CPD reflected","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/learning/enrolments/[enrolmentId]/lessons/[lessonId]/page.tsx","hooks/queries/useLearningSubjectCompletions.ts"
"frontend-route","/learning/pathways","provider","auth","professional development","Learning Pathways","TRAINING_OR_COMPETENCY:Fundo / Learning Journey","fundo-learning","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","varapi-service","provider identity for CPD","enrolments; assessments; CPD","learning.completed","/learning/pathways","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","expected","provider-login; credential-verification","CPD credit","Provider enrols, completes module, CPD reflected","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/learning/pathways/page.tsx","hooks/queries/useLearningSubjectCompletions.ts"
"frontend-route","/learning/pathways/[pathwayId]","provider","auth","professional development","Pathway Detail","TRAINING_OR_COMPETENCY:Fundo / Learning Journey","fundo-learning","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","varapi-service","provider identity for CPD","enrolments; assessments; CPD","learning.completed","/learning/pathways/[pathwayId]","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","expected","provider-login; credential-verification","CPD credit","Provider enrols, completes module, CPD reflected","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/learning/pathways/[pathwayId]/page.tsx","hooks/queries/useLearningSubjectCompletions.ts"
"frontend-route","/learning/record","provider","auth","professional development","Learning Record","TRAINING_OR_COMPETENCY:Fundo / Learning Journey","fundo-learning","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","varapi-service","provider identity for CPD","enrolments; assessments; CPD","learning.completed","/learning/record","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","expected","provider-login; credential-verification","CPD credit","Provider enrols, completes module, CPD reflected","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/learning/record/page.tsx","hooks/queries/useLearningSubjectCompletions.ts"
"frontend-route","/learning/assessments/[assessmentId]","provider","auth","professional development","Assessment","TRAINING_OR_COMPETENCY:Fundo / Learning Journey","fundo-learning","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","varapi-service","provider identity for CPD","enrolments; assessments; CPD","learning.completed","/learning/assessments/[assessmentId]","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","expected","provider-login; credential-verification","CPD credit","Provider enrols, completes module, CPD reflected","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/learning/assessments/[assessmentId]/page.tsx","hooks/queries/useLearningSubjectCompletions.ts"
"frontend-route","/learning/assessments/[assessmentId]/attempt","provider","auth","professional development","Assessment Attempt","TRAINING_OR_COMPETENCY:Fundo / Learning Journey","fundo-learning","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","varapi-service","provider identity for CPD","enrolments; assessments; CPD","learning.completed","/learning/assessments/[assessmentId]/attempt","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","expected","provider-login; credential-verification","CPD credit","Provider enrols, completes module, CPD reflected","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/learning/assessments/[assessmentId]/attempt/page.tsx","hooks/queries/useLearningSubjectCompletions.ts"
"frontend-route","/learning/attempts/[attemptId]","provider","auth","professional development","Attempt Result","TRAINING_OR_COMPETENCY:Fundo / Learning Journey","fundo-learning","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","varapi-service","provider identity for CPD","enrolments; assessments; CPD","learning.completed","/learning/attempts/[attemptId]","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","expected","provider-login; credential-verification","CPD credit","Provider enrols, completes module, CPD reflected","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/learning/attempts/[attemptId]/page.tsx","hooks/queries/useLearningSubjectCompletions.ts"
"frontend-route","/learning/certificates","provider","auth","professional development","Certificates","TRAINING_OR_COMPETENCY:Fundo / Learning Journey","fundo-learning","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","varapi-service","provider identity for CPD","enrolments; assessments; CPD","learning.completed","/learning/certificates","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","expected","provider-login; credential-verification","CPD credit","Provider enrols, completes module, CPD reflected","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/learning/certificates/page.tsx","hooks/queries/useLearningSubjectCompletions.ts"
"frontend-route","/learning/certificates/[certificateId]","provider","auth","professional development","Certificate Detail","TRAINING_OR_COMPETENCY:Fundo / Learning Journey","fundo-learning","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","varapi-service","provider identity for CPD","enrolments; assessments; CPD","learning.completed","/learning/certificates/[certificateId]","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","expected","provider-login; credential-verification","CPD credit","Provider enrols, completes module, CPD reflected","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/learning/certificates/[certificateId]/page.tsx","hooks/queries/useLearningSubjectCompletions.ts"
"frontend-route","/learning/cpd","provider","auth","professional development","CPD Evidence","TRAINING_OR_COMPETENCY:Fundo / Learning Journey","fundo-learning","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","varapi-service","provider identity for CPD","enrolments; assessments; CPD","learning.completed","/learning/cpd","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","expected","provider-login; credential-verification","CPD credit","Provider enrols, completes module, CPD reflected","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/learning/cpd/page.tsx","hooks/queries/useLearningSubjectCompletions.ts"
"frontend-route","/learning/reports","provider","auth","professional development","Learning Reports","TRAINING_OR_COMPETENCY:Fundo / Learning Journey","fundo-learning","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","varapi-service","provider identity for CPD","enrolments; assessments; CPD","learning.completed","/learning/reports","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","expected","provider-login; credential-verification","CPD credit","Provider enrols, completes module, CPD reflected","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/learning/reports/page.tsx","hooks/queries/useLearningSubjectCompletions.ts"
"frontend-route","/learning/reports/cohorts","provider","auth","professional development","Cohort Report","TRAINING_OR_COMPETENCY:Fundo / Learning Journey","fundo-learning","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","varapi-service","provider identity for CPD","enrolments; assessments; CPD","learning.completed","/learning/reports/cohorts","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","expected","provider-login; credential-verification","CPD credit","Provider enrols, completes module, CPD reflected","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/learning/reports/cohorts/page.tsx","hooks/queries/useLearningSubjectCompletions.ts"
"frontend-route","/learning/reports/courses","provider","auth","professional development","Course Report","TRAINING_OR_COMPETENCY:Fundo / Learning Journey","fundo-learning","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","varapi-service","provider identity for CPD","enrolments; assessments; CPD","learning.completed","/learning/reports/courses","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","expected","provider-login; credential-verification","CPD credit","Provider enrols, completes module, CPD reflected","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/learning/reports/courses/page.tsx","hooks/queries/useLearningSubjectCompletions.ts"
"frontend-route","/learning/reports/overdue","provider","auth","professional development","Overdue Learning","TRAINING_OR_COMPETENCY:Fundo / Learning Journey","fundo-learning","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","varapi-service","provider identity for CPD","enrolments; assessments; CPD","learning.completed","/learning/reports/overdue","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","expected","provider-login; credential-verification","CPD credit","Provider enrols, completes module, CPD reflected","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/learning/reports/overdue/page.tsx","hooks/queries/useLearningSubjectCompletions.ts"
"frontend-route","/learning/reports/assessments","provider","auth","professional development","Assessment Report","TRAINING_OR_COMPETENCY:Fundo / Learning Journey","fundo-learning","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","varapi-service","provider identity for CPD","enrolments; assessments; CPD","learning.completed","/learning/reports/assessments","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","expected","provider-login; credential-verification","CPD credit","Provider enrols, completes module, CPD reflected","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/learning/reports/assessments/page.tsx","hooks/queries/useLearningSubjectCompletions.ts"
"frontend-route","/learning/studio","provider","role","professional development","Fundo Studio","TRAINING_OR_COMPETENCY:Fundo / Learning Journey","fundo-learning","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","varapi-service","provider identity for CPD","enrolments; assessments; CPD","learning.completed","/learning/studio","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","expected","provider-login; credential-verification","CPD credit","Provider enrols, completes module, CPD reflected","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/learning/studio/page.tsx","hooks/queries/useLearningSubjectCompletions.ts"
"frontend-route","/learning/studio/courses","provider","role","professional development","Studio Courses","TRAINING_OR_COMPETENCY:Fundo / Learning Journey","fundo-learning","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","varapi-service","provider identity for CPD","enrolments; assessments; CPD","learning.completed","/learning/studio/courses","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","expected","provider-login; credential-verification","CPD credit","Provider enrols, completes module, CPD reflected","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/learning/studio/courses/page.tsx","hooks/queries/useLearningSubjectCompletions.ts"
"frontend-route","/learning/studio/courses/new","provider","role","professional development","Studio New Course","TRAINING_OR_COMPETENCY:Fundo / Learning Journey","fundo-learning","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","varapi-service","provider identity for CPD","enrolments; assessments; CPD","learning.completed","/learning/studio/courses/new","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","expected","provider-login; credential-verification","CPD credit","Provider enrols, completes module, CPD reflected","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/learning/studio/courses/new/page.tsx","hooks/queries/useLearningSubjectCompletions.ts"
"frontend-route","/learning/studio/courses/[courseId]","provider","role","professional development","Studio Course Detail","TRAINING_OR_COMPETENCY:Fundo / Learning Journey","fundo-learning","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","varapi-service","provider identity for CPD","enrolments; assessments; CPD","learning.completed","/learning/studio/courses/[courseId]","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","expected","provider-login; credential-verification","CPD credit","Provider enrols, completes module, CPD reflected","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/learning/studio/courses/[courseId]/page.tsx","hooks/queries/useLearningSubjectCompletions.ts"
"frontend-route","/learning/studio/courses/[courseId]/builder","provider","role","professional development","Studio Course Builder","TRAINING_OR_COMPETENCY:Fundo / Learning Journey","fundo-learning","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","varapi-service","provider identity for CPD","enrolments; assessments; CPD","learning.completed","/learning/studio/courses/[courseId]/builder","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","expected","provider-login; credential-verification","CPD credit","Provider enrols, completes module, CPD reflected","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/learning/studio/courses/[courseId]/builder/page.tsx","hooks/queries/useLearningSubjectCompletions.ts"
"frontend-route","/learning/studio/library","provider","role","professional development","Studio Library","TRAINING_OR_COMPETENCY:Fundo / Learning Journey","fundo-learning","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","varapi-service","provider identity for CPD","enrolments; assessments; CPD","learning.completed","/learning/studio/library","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","expected","provider-login; credential-verification","CPD credit","Provider enrols, completes module, CPD reflected","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/learning/studio/library/page.tsx","hooks/queries/useLearningSubjectCompletions.ts"
"frontend-route","/learning/studio/media","provider","role","professional development","Studio Media","TRAINING_OR_COMPETENCY:Fundo / Learning Journey","fundo-learning","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","varapi-service","provider identity for CPD","enrolments; assessments; CPD","learning.completed","/learning/studio/media","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","expected","provider-login; credential-verification","CPD credit","Provider enrols, completes module, CPD reflected","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/learning/studio/media/page.tsx","hooks/queries/useLearningSubjectCompletions.ts"
"frontend-route","/learning/studio/media/recordings","provider","role","professional development","Media Recordings","TRAINING_OR_COMPETENCY:Fundo / Learning Journey","fundo-learning","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","varapi-service","provider identity for CPD","enrolments; assessments; CPD","learning.completed","/learning/studio/media/recordings","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","expected","provider-login; credential-verification","CPD credit","Provider enrols, completes module, CPD reflected","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/learning/studio/media/recordings/page.tsx","hooks/queries/useLearningSubjectCompletions.ts"
"frontend-route","/learning/studio/media/scripts","provider","role","professional development","Media Scripts","TRAINING_OR_COMPETENCY:Fundo / Learning Journey","fundo-learning","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","varapi-service","provider identity for CPD","enrolments; assessments; CPD","learning.completed","/learning/studio/media/scripts","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","expected","provider-login; credential-verification","CPD credit","Provider enrols, completes module, CPD reflected","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/learning/studio/media/scripts/page.tsx","hooks/queries/useLearningSubjectCompletions.ts"
"frontend-route","/learning/studio/media/voiceovers","provider","role","professional development","Media Voiceovers","TRAINING_OR_COMPETENCY:Fundo / Learning Journey","fundo-learning","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","varapi-service","provider identity for CPD","enrolments; assessments; CPD","learning.completed","/learning/studio/media/voiceovers","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","expected","provider-login; credential-verification","CPD credit","Provider enrols, completes module, CPD reflected","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/learning/studio/media/voiceovers/page.tsx","hooks/queries/useLearningSubjectCompletions.ts"
"frontend-route","/learning/studio/media/[mediaId]","provider","role","professional development","Media Asset","TRAINING_OR_COMPETENCY:Fundo / Learning Journey","fundo-learning","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","varapi-service","provider identity for CPD","enrolments; assessments; CPD","learning.completed","/learning/studio/media/[mediaId]","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","expected","provider-login; credential-verification","CPD credit","Provider enrols, completes module, CPD reflected","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/learning/studio/media/[mediaId]/page.tsx","hooks/queries/useLearningSubjectCompletions.ts"
"frontend-route","/learning/studio/assessments","provider","role","professional development","Studio Assessments","TRAINING_OR_COMPETENCY:Fundo / Learning Journey","fundo-learning","learning-service; varapi-service; experience-bff","/internal/v1/learning/*","varapi-service","provider identity for CPD","enrolments; assessments; CPD","learning.completed","/learning/studio/assessments","apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx","expected","provider-login; credential-verification","CPD credit","Provider enrols, completes module, CPD reflected","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/learning/studio/assessments/page.tsx","hooks/queries/useLearningSubjectCompletions.ts"
